2023.04.13 18:43:18 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2023.04.13 18:43:18 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2023.04.13 18:43:18 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2023.04.13 18:43:18 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2023.04.13 18:43:18 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired session tokens has removed 0 elements
2023.04.13 18:43:18 INFO  web[][o.s.s.a.p.ExpiredSessionsCleaner] Purge of expired SAML message ids has removed 0 elements
2023.04.13 18:43:18 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2023.04.13 18:43:18 INFO  web[][o.s.s.r.RegisterRules] Register rules
2023.04.13 18:43:22 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile css/Sonar way
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile scala/Sonar way
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/Sonar way
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2023.04.13 18:43:23 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2023.04.13 18:43:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2023.04.13 18:43:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2023.04.13 18:43:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2023.04.13 18:43:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2023.04.13 18:43:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2023.04.13 18:43:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2023.04.13 18:43:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile vbnet/Sonar way
2023.04.13 18:43:24 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2023.04.13 18:43:24 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2023.04.13 18:43:24 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2023.04.13 18:43:24 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.SonarLintConnectionFilter@4153964c [pattern=UrlPattern{inclusions=[/api/*], exclusions=[]}]
